O.S;;Código;Descrição;Código;Descrição;Código;Descrição;;;Código;Descrição;;Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;;Descrição da O.S
165487647;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100792;Case Puma 230 4x4;1232;3;Trator de Pneu;;;13/05/2025 06:00;13/05/2025 06:00;;0;"A_TR_P_2,00_1,00 - Inspeção realizada no sistema Hidráulico. Colocar o gomo do comando. Está sem 8139839_1.8130009_3.
"
165492136;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102779;John Deere 8270R 4X4;784;3;Trator de Pneu;;;22/05/2025 06:00;22/05/2025 17:00;;0;"M_VZ_P_MEC_4,00_2 - Inspeção realizada no sistema hidraulico - trocar kit reparo do comando das VCR traseira, esta com vazamento 8079231_2(P5); 8094863_5(P5); 8078683_1(P5); 8116269_6; 8138678_12(P5); 8183498_2(P5); 8129721_1(P5); 8148489_2; 8146731_2(P5); 8117938_2(P5); 8102121_1(P5); 8183243_1(P5)
"
165492321;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102779;John Deere 8270R 4X4;784;3;Trator de Pneu;;;22/05/2025 06:00;22/05/2025 17:00;;0;"A_OT_P_MEC_1,00_1 - Inspeção realizada na estrutura - instalar proteção inferior dos radiadores,  pondendo pegar toco e danificar o radiador 8149625_01 8149612_04(P5)
"
165492330;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102768;John Deere 8270R 4X4;784;3;Trator de Pneu;;;22/05/2025 06:00;22/05/2025 17:00;;0;"M_TR_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico - Instalar braçadeira de bloco na tubulação hidraulica que alimenta os cilindro de direção, braçadeira vai proximo ao carcaça do filtro de ar externo lado esquerdo do trator abaixo da tampa do filtro, necessidade de trocar devido ao atrito gerado que esta danificando o tubo hidraulico 8153826_01 Material disponível na sala de Aprovisionamento

"
165492391;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;102781;John Deere 8270R 4X4;784;3;Trator de Pneu;;;22/05/2025 06:00;22/05/2025 17:00;;0;"M_VZ_S_MEC_16,00_2 - Inspeção realizada no sistema hidraulico - Vazamento entre a valvula orbitrol e valvula do freio e mangueiras de saida da valvula, lavar o compartimento para tentar identificar a origem pois esta com o compartimento sujo e não foi possivel identificar a origem NECESSARIO RECOLHER O TRATOR DEVIDO A COMPLEXIDADE DO TRABALHO 
"
165492416;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102768;John Deere 8270R 4X4;784;3;Trator de Pneu;;;22/05/2025 06:00;22/05/2025 17:00;;0;"B_MT_P_MEC_1,00_1 - Inspeção realizada no sistema arrefecimento - Trocar mangueira de superior L/E do radiador de agua, esta em atrito com a estrutura e marcas na mangueira RE339861  8141265_01 8146401_02 (P5)
"
165492590;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;22/05/2025 06:00;22/05/2025 17:00;;0;"A_MT_P_MEC_1,00_2 - Inspeção realizada no sistema de arrefecimento - Trocar helice do cojunto de radiadores, esta quebrada a pá AH209308  8070684_01
"
165493889;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100809;Case Puma 230 4x4;1232;3;Trator de Pneu;;;24/05/2025 06:00;24/05/2025 07:00;;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema comando. Trocar reparo do comando, esta vazando.      8130009_2   8037627_2        f-210 Material disponível na sala de Aprovisionamento 
"
165493909;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;101497;John Deere CH670 2L Colhe;1191;11;Colhedora;;;24/05/2025 06:00;24/05/2025 07:00;;0;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de cabine. Instalar isolador de cabine,esta faltando.   8142557_2    8103248_4  

"
165494086;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102756;John Deere 8345R 4X4;1397;3;Trator de Pneu;;;26/05/2025 06:00;26/05/2025 17:00;;0;"A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - Trocar helice do ventilador e defletor traseiro da helice, a atual esta quebrada de desbalanceada 8184831_01(P5)  8157468_01(P5) 8157514_01  8165422_02  (P5)8157515_03 (P5) 8103248_03( P5)
Material disponível na sala de aprovisionamento 
"
165494088;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102780;John Deere 8270R 4X4;784;3;Trator de Pneu;;;26/05/2025 06:00;26/05/2025 17:00;;0;"A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - Trocar helice do ventilador e defletor traseiro da helice e grade lateral do capô, a atual esta quebrada de desbalanceada 8184831_01 (RETIRADO JONE ) 8157468_01(P5) RETIRADO JONE 8157514_01(P5) RETIRADO JONE )  8165422_02  (P5) 8157515_03(P5) RETIRADO JONE )  8103248_03(P5) RETIRADO JONE )  8139273_01(RETIRADO JONE 8153869_01 (RETIRADO JONE
"
165495589;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;96589;Volkswagen 32.360 6x4;1440;1;Caminhão;;;28/05/2025 07:05;28/05/2025 07:05;;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de cabine. Trocar amortecedor da grade dianteira (danificado). 01_8102347 Material disponivel na sala de aprovisionamento

"
165497733;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;74542;Volkswagen 31.320 CNC 6x4;571;1;Caminhão;;;02/06/2025 08:00;02/06/2025 08:00;;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedores dianteiros L/E, L/D . (estourados)  - 02_8190716
"
165497765;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_OT_P_MEC_2,00_2,00 - Inspeção realizada no sistema de direção. Trocar coifa do 1° eixo direcional L/E e L/D está rasgada.              8176116_2  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERIAL RETIRADO  JOW 
"
165497769;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_OT_P_0,15_1,00 - Inspeção realizada no sistema do arla. Trocar a tampa do tanque arla,esta vazando.         8174965_1     MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  MATERIAL RETIRADO JOW 
"
165497775;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100787;Case Puma 230 4x4;1232;3;Trator de Pneu;;;02/06/2025 07:00;02/06/2025 07:00;;0;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de cabine. Trocar borracha de vedação da janela traseira.        8133157_1
MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  MATERAIL RETIRADO POR  JOW 
"
165498585;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98382;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)          8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO RETIRADO RAFAEL DOMINGUES 
"
165498590;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;101504;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/06/2025 06:00;02/06/2025 07:00;;0;"M_OT_P_MEC_2,00_2,00- Inspeção realizada no sistema de arrefecimento.Trocar helice do radiador, esta danificada.     8129245_1
"
165498598;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98386;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_MEC_1,00_1,00 - Inspeção realizada no sistema de cambio. 2ºmarcha e 6º não engata, NECESSARIO RECOLHER PARA OFICINA FIXA!!!
"
165498615;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98418;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)          8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO RETIRADO RAFAEL DOMINGUES 
"
165498664;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;50917;Case Puma 230 4x4;1232;3;Trator de Pneu;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_MT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de combustivel. Trocar reservatorio do decantador diesel, esta trincado.    8138540_1 Material disponivel na sala de aprovisionamento
"
165499340;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;04/06/2025 06:51;04/06/2025 07:00;;0;"M_OT_P_MEC_2,00_2- trocar 4 coxins da cabine.    Coxins dianteiro:8129107_2(1 TEM NA P5 DE OS ENCERRADA ); Coxins traseiro:8129108_2,((P5 DE OS ENCERRADA)  Isolador traseiro: 8138057_1; isolador dianteiro: 8138351_1;  Isolador Lateral esq: 8134863_2;  Isolador lateral Dirt: 8134873_2;  Isolador dianteiro;  8138056_1.
"
165500782;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;06/06/2025 15:25;06/06/2025 17:00;;0;"A_OT_P_MEC_2,00_1- Inspeção realizada no sistema da cabine, Trocar o limpador de para-brisa completo. 8133629_1; 8134137_4; 8134095_1; 8159655_1; 8159656_1; 8165080_1; 8129109_1; 8129119_1; 8178409_2; 8143951_1; 8138436_2; 8136410_2; 8143984_2; 8136411_1; 8136409_1; 8149359_2; 8143983_2; 8143994_1; 8185749_1; 8166666_3.

"
165501359;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98372;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;09/06/2025 06:00;09/06/2025 07:00;;0;"A_MT_P_MEC_0,15_1,00 - Inspeção realizada no sistema de admissão. Instalar valvula da carcaça do filtro de ar (mamica), esta faltando.    8047093_1

"
165501412;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100816;Case Puma 230 4x4;1232;3;Trator de Pneu;;;09/06/2025 06:00;09/06/2025 07:00;;0;"A_MT_P_MEC_0,30_1 - Inspeção realizada no sistema admissao - Instalar vedação de proteção da mangueira do intercooler L/E do motor diesel, esta sem e esfregando a mangueira proximo a entrada do radiador.      8189971_01; 8119302_1; 8140288_2
"
