Descrição da ordem
"A_3,00_01 - Inspeção realizada sistema de suspensão. Trocar buchas dos molejos dianteiros e traseiros L/E,L/D e buchas da ponta do estabilizador traseiro, do estabilizador dianteiro , amortecedores dianteiros. 02_8139570,(P5) 02_8148469,04(P5 2 UNIDADES FATA 2)_8137449(P5), 02_8150757,02(P5)_8138926(P5)
"
"A_VZ_S_2,00_1 - Inspeção realizada no sistema hidráulico, trocar reparo do cilindro do levante hidráulico, está com vazamento 8150792_2    NÃO POSSUI CILINDRO REMAN, NECESSARIO REMOVER O CILINDRO E ENCAMINHAR PARA RECUPERAR JUNTO AO REPARO
"
"M_SG_P_0,15_1 - Inspeção realizada no sistema eletrico, colocar a tampa da bateria, está sem 8121534_1.
"
"A_MT_P_0,10_1,00- Inspeção realizada no sistema de motor. Trocar vareta do nivel de oleo. Esta sem vedação e vazando.      8117353_1   Material disponível na sala de Aprovisionamento!
"
"A_SG_P_1,00_1 - Inspeção realizada na estrutura - trocar cubo do eixo de articulação, esta rustido e com folga 8176439_01
"
"A_SS_S_16,00_2 - Inspeção realizada na estrutura do implemento, reparar trincas na mesa do implemento, está com trincas iniciais podendo evoluir e oferecer riscos a estabilidade do implemento IMPLEMENTO ESTÁ EQUIPADO NA FROTA MB ATEGO 45223 UNIDADE DIAMANTE
"
"A_OT_I_2,00_2,00 - Inspeção realizada no sistema da cabine. Trocar os amortecedores da cabine L/E e L/D. estão ruins. 8177419_2. 
"
"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedor traseiro L/D. (estourado) 01_8144313MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO
"
"M_VZ_P_2,00_2 - Inspeção realizada na tomada de força, trocar retentor do eixo da tomada de força. 8120853_1 (ND); 8120857_1 (ND); 6031339_1 (VB)
"
"M_OT_P_1,00_1,00 - Inspeção realizada no sistema estrutural. Instralação da chapa de desgaste da barra de tração. Frente de preparo. 8152963_1 (ND); 8158949_1 (ND); 8155310_2 (ND); 8144592_2 (ND); 8144602_2 (ND

"
